Input,LPFilter,HPFilter,DerivativeF,SQRFilter,MVAFilter,RBeat,RunningThI1,SignalLevel,NoiseLevel,RunningThF
-45,-2,0,0,0,0,0,0,0,0,0
-49,-5,1,0,0,0,0,0,0,0,0
-47,-9,1,0,0,0,0,0,0,0,0
-48,-15,2,0,0,0,0,0,0,0,0
-49,-23,2,0,0,0,0,0,0,0,0
-53,-32,3,0,0,0,0,0,0,0,0
-53,-40,4,0,0,0,0,0,0,0,0
-56,-46,5,1,1,0,0,0,0,0,0
-58,-52,6,1,1,0,0,0,0,0,0
-59,-56,7,1,1,0,0,0,0,0,0
-60,-59,8,1,1,0,0,0,0,0,0
-63,-61,9,1,1,0,0,0,0,0,0
-65,-63,10,1,1,0,0,0,0,0,0
-65,-65,11,1,1,0,0,0,0,0,0
-65,-67,13,1,1,0,0,0,0,0,0
-65,-69,14,1,1,0,0,0,0,0,0
-67,-70,15,1,1,0,0,0,0,0,0
-69,-72,15,1,1,0,0,0,0,0,0
-69,-73,14,0,0,0,0,0,0,0,0
-64,-74,13,-1,1,0,0,0,0,0,0
-46,-74,10,-2,4,0,0,0,0,0,0
-12,-72,7,-3,9,0,0,0,0,0,0
35,-67,5,-3,9,1,0,0,0,0,0
81,-57,3,-4,16,1,0,0,0,0,0
96,-42,1,-3,9,1,0,0,0,0,0
68,-22,-1,-3,9,2,0,0,0,0,0
29,-1,-2,-3,9,2,0,0,0,0,0
-4,19,-3,-2,4,2,0,0,0,0,0
-29,33,-4,-2,4,2,0,0,0,0,0
-48,39,-6,-2,4,2,0,0,0,0,0
-62,35,-7,-2,4,3,0,0,0,0,0
-72,22,-8,-2,4,3,0,0,0,0,0
-78,4,-9,-2,4,3,0,0,0,0,0
-80,-17,-10,-2,4,3,0,0,0,0,0
-83,-38,-10,-1,1,3,0,0,0,0,0
-84,-56,-10,-1,1,3,0,0,0,0,0
-84,-70,-9,0,0,3,0,0,0,0,0
-84,-79,-7,0,0,3,0,0,0,0,0
-83,-86,-4,1,1,3,0,0,0,0,0
-82,-90,1,3,9,3,0,0,0,0,0
-81,-92,9,5,25,4,0,0,0,0,0
-80,-93,20,8,64,6,0,0,0,0,0
-79,-93,31,11,121,10,0,0,0,0,0
-77,-93,41,12,144,15,0,0,0,0,0
-75,-92,49,12,144,20,0,0,0,0,0
-72,-91,52,10,100,23,0,0,0,0,0
-69,-90,50,6,36,24,0,0,0,0,0
-67,-88,43,0,0,24,0,0,0,0,0
-65,-86,34,-5,25,25,0,0,0,0,0
-64,-84,24,-9,81,28,0,0,0,0,0
-63,-81,13,-12,144,32,0,0,0,0,0
-61,-79,4,-13,169,38,0,0,0,0,0
-60,-77,-3,-12,144,42,0,0,0,0,0
-58,-75,-7,-10,100,45,0,0,0,0,0
-55,-73,-11,-8,64,47,0,0,0,0,0
-52,-71,-12,-5,25,47,0,0,0,0,0
-48,-69,-13,-4,16,48,0,0,0,0,0
